Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.63583511
Total DOS in Cell and MT Volumes =    4.70450807   3.97885663
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.10218766           0.94662430           0.78119768
  1    -1           0.08477420           0.55423750           0.38701196
  1     0           0.08477420           0.55468774           0.38701196
  1     1           0.08477420           0.55513797           0.38701196
  2    -2           2.98077622           0.41130201           0.40379942
  2    -1           2.98277120           0.40706411           0.40265160
  2     0           2.97878124           0.41552591           0.40494723
  2     1           2.98277120           0.40706411           0.40265160
  2     2           2.98077622           0.41128800           0.40379942
  3    -3           0.00103048           0.00575228           0.00266898
  3    -2           0.00156439           0.00538023           0.00271052
  3    -1           0.00122598           0.00560242           0.00268468
  3     0           0.00073724           0.00712356           0.00264544
  3     1           0.00122599           0.00564422           0.00268468
  3     2           0.00156439           0.00537916           0.00271052
  3     3           0.00103049           0.00669455           0.00266898
