Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.63583511
Total DOS in Cell and MT Volumes =    3.00445501   2.45499274
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.10218766           0.50164350           0.41387524
  1    -1           0.08477420           0.51194032           0.36875343
  1     0           0.08477420           0.51239056           0.36875343
  1     1           0.08477420           0.51284080           0.36875343
  2    -2           2.98077622           0.19241405           0.18879345
  2    -1           2.98277120           0.14747630           0.14598232
  2     0           2.97878124           0.23733779           0.23160459
  2     1           2.98277120           0.14747630           0.14598232
  2     2           2.98077622           0.19240004           0.18879345
  3    -3           0.00103048           0.00941101           0.00690790
  3    -2           0.00156439           0.00051642           0.00025182
  3    -1           0.00122598           0.00604688           0.00422378
  3     0           0.00073724           0.01560370           0.01093408
  3     1           0.00122599           0.00608868           0.00422378
  3     2           0.00156439           0.00051535           0.00025182
  3     3           0.00103049           0.01035329           0.00690790
