Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65013329
Total DOS in Cell and MT Volumes =    4.69269446   3.96488903
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.12977644           0.93764841           0.77221154
  1    -1           0.07614712           0.55126433           0.38475287
  1     0           0.07614717           0.55168912           0.38475289
  1     1           0.07614712           0.55211400           0.38475287
  2    -2           2.97779807           0.41096483           0.40361341
  2    -1           2.97947531           0.40786927           0.40303968
  2     0           2.97612084           0.41306296           0.40418716
  2     1           2.97947531           0.40827830           0.40303968
  2     2           2.97779807           0.41017190           0.40361341
  3    -3           0.00110879           0.00625045           0.00284628
  3    -2           0.00160074           0.00573853           0.00288966
  3    -1           0.00127552           0.00600914           0.00286098
  3     0           0.00085870           0.00769388           0.00282425
  3     1           0.00127552           0.00604820           0.00286098
  3     2           0.00160074           0.00573516           0.00288966
  3     3           0.00110879           0.00713919           0.00284628
  4    -4           0.00001301           0.00091068           0.00010209
  4    -3           0.00004697          -0.00014255           0.00010018
  4    -2           0.00003283           0.00177709           0.00009743
  4    -1           0.00003498           0.00027540           0.00009999
  4     0          -0.00001644           0.00024683           0.00010805
  4     1           0.00003498           0.00027561           0.00009999
  4     2           0.00003283           0.00103454           0.00009743
  4     3           0.00004697           0.00026669           0.00010018
  4     4           0.00001301           0.00037248           0.00010209
