Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65013329
Total DOS in Cell and MT Volumes =    3.91491976   3.33776158
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.12977644           0.44650824           0.36680986
  1    -1           0.07614712           0.49784074           0.34920395
  1     0           0.07614717           0.49826795           0.34920563
  1     1           0.07614712           0.49869041           0.34920395
  2    -2           2.97779807           0.38624813           0.37999151
  2    -1           2.97947531           0.38913871           0.38460576
  2     0           2.97612084           0.38236097           0.37537808
  2     1           2.97947531           0.38954774           0.38460576
  2     2           2.97779807           0.38545521           0.37999151
  3    -3           0.00110879           0.00523577           0.00266796
  3    -2           0.00160074           0.00497862           0.00231370
  3    -1           0.00127552           0.00388515           0.00188548
  3     0           0.00085870           0.00834324           0.00384174
  3     1           0.00127552           0.00392422           0.00188548
  3     2           0.00160074           0.00497525           0.00231370
  3     3           0.00110879           0.00612451           0.00266796
  4    -4           0.00001301           0.00088181           0.00017091
  4    -3           0.00004697          -0.00017178           0.00009200
  4    -2           0.00003283           0.00044646           0.00002412
  4    -1           0.00003498           0.00091667           0.00030623
  4     0          -0.00001644           0.00011985           0.00000305
  4     1           0.00003498           0.00091688           0.00030623
  4     2           0.00003283          -0.00029608           0.00002412
  4     3           0.00004697           0.00023746           0.00009200
  4     4           0.00001301           0.00034362           0.00017091
